HCPCS,Mod,From,Through,Purchase Fee,Fee Effective Date,Note Code,2,Rental Fee,Fee Effective Date,Note Code
E0967,,0,999,$63.08 ,4/1/2017,,,$6.31 ,4/1/2017,,
E0969,,0,20,$146.66 ,4/1/2013,,,,,,
E0970,,0,999,$39.63 ,4/1/2017,,,,,,
E0971,,0,999,$38.51 ,4/1/2017,,,,,,
E0973,,0,999,$68.33 ,3/1/2012,,,,,,
E0974,,0,999,$64.82 ,4/1/2017,,,,,,
E0978,,0,999,$35.40 ,3/1/2012,,,,,,
E0980,,0,999,$28.79 ,3/1/2012,,,,,,
E0981,,0,999,$37.19 ,4/1/2017,,,,,,
E0982,,0,999,$41.22 ,4/1/2017,,,,,,
E0986,,0,999,$0.00 ,6/1/2022,5,,,,,
E0990,,0,999,$124.59 ,1/1/2016,,,$12.46 ,1/1/2016,,
E0992,,0,999,$82.82 ,4/1/2013,,,,,,
E0994,,0,999,$13.24 ,3/1/2012,,,,,,
E0995,,0,999,$22.12 ,4/1/2013,,,,,,
E1002,,0,999,"$3,661.00 ",3/1/2012,,,,,,
E1003,,0,999,"$4,282.40 ",3/1/2012,,,,,,
E1004,,0,999,"$4,748.30 ",3/1/2012,,,,,,
E1005,,0,999,"$4,289.37 ",4/1/2017,,,,,,
E1006,,0,999,"$6,295.60 ",4/1/2013,,,,,,
E1007,,0,999,"$7,861.02 ",4/1/2013,,,,,,
E1008,,0,999,"$7,881.83 ",3/1/2012,,,,,,
E1009,,0,999,$0.00 ,5/1/2005,5,,,,,
E1010,,0,999,"$1,595.33 ",3/1/2012,,,,,,
E1011,,0,999,$0.00 ,5/1/2003,5,,,,,
E1012,,0,999,$926.15 ,1/1/2016,,,,,,
E1014,,0,999,$319.87 ,3/1/2012,,,,,,
E1015,,0,999,$101.31 ,4/1/2017,,,,,,
E1016,,0,999,$114.93 ,4/1/2017,,,,,,
E1017,,0,999,$0.00 ,4/1/2013,5,,,,,
E1018,,0,999,$0.00 ,5/1/2003,5,,,,,
E1020,,0,999,$204.67 ,4/1/2017,,,$20.47 ,4/1/2017,,
E1028,,0,999,$165.23 ,4/1/2017,,,,,,
E1029,,0,999,$326.14 ,3/1/2012,,,,,,
E1035,,0,20,"$4,424.10 ",4/1/2015,6,,,,,
E1035,TF,0,20,$0.00 ,4/1/2013,5,6,,,,
E1035,TG,0,20,$0.00 ,10/16/2003,5,6,,,,
E1050,,0,999,$731.71 ,4/1/2019,,,$73.17 ,4/1/2019,,
E1060,,0,999,"$1,069.90 ",4/1/2013,,,$106.99 ,4/1/2013,,
E1070,,0,999,$842.08 ,4/1/2013,,,$84.21 ,4/1/2013,,
E1083,,0,999,$489.65 ,4/1/2019,,,$48.96 ,4/1/2019,,
E1084,,0,999,$770.70 ,4/1/2013,,,$77.07 ,4/1/2013,,
E1085,,0,999,$569.53 ,4/1/2019,,,$56.95 ,4/1/2019,,
E1086,,0,999,$740.06 ,4/1/2019,,,$74.01 ,4/1/2019,,
E1087,,0,999,"$1,095.19 ",4/1/2013,,,$109.52 ,4/1/2013,,
E1088,,0,999,"$1,147.05 ",4/1/2013,,,$114.71 ,4/1/2013,,
E1089,,0,999,"$1,146.13 ",4/1/2019,,,$114.61 ,4/1/2019,,
E1090,,0,999,"$1,217.19 ",4/1/2019,,,$121.72 ,4/1/2019,,
E1092,,0,999,"$1,052.53 ",4/1/2013,,,$105.25 ,4/1/2013,,
E1093,,0,999,"$1,067.66 ",4/1/2013,,,$106.77 ,4/1/2013,,
E1100,,0,999,"$1,002.80 ",4/1/2013,,,$100.28 ,4/1/2013,,
E1110,,0,999,$982.01 ,4/1/2013,,,$98.20 ,4/1/2013,,
E1130,,0,999,$346.30 ,4/1/2019,,,$34.63 ,4/1/2019,,
E1140,,0,999,$411.22 ,4/1/2019,,,$41.12 ,4/1/2019,,
E1150,,0,999,$596.77 ,4/1/2019,,,$59.68 ,4/1/2019,,
E1160,,0,999,$509.31 ,4/1/2013,,,$50.93 ,4/1/2013,,
E1161,,0,999,"$2,422.78 ",3/1/2012,,,$242.28 ,4/1/2017,,
E1170,,0,999,$919.04 ,4/1/2013,,,$91.90 ,4/1/2013,,
E1171,,0,999,$824.77 ,4/1/2013,,,$82.48 ,4/1/2013,,
E1172,,0,999,$779.54 ,4/1/2013,,,$77.95 ,4/1/2013,,
E1180,,0,999,$922.56 ,4/1/2013,,,$92.26 ,4/1/2013,,
E1190,,0,999,"$1,028.84 ",4/1/2013,,,$102.88 ,4/1/2017,,
E1195,,0,999,$979.89 ,4/1/2013,,,$97.99 ,4/1/2019,,
E1200,,0,999,$692.89 ,4/1/2013,,,$69.29 ,4/1/2013,,
E1220,,0,999,$0.00 ,7/1/1997,5,,,,,
E1225,,0,999,$390.67 ,4/1/2017,,,$39.07 ,4/1/2017,,
E1226,,0,999,$481.92 ,4/1/2017,,,$48.19 ,4/1/2017,,
E1229,,0,999,$0.00 ,1/1/2005,5,,,,,
E1230,,0,999,"$1,353.82 ",4/1/2013,,,$135.38 ,4/1/2017,,
E1231,,0,999,$0.00 ,6/1/2022,5,,$0.00 ,6/1/2022,5,
E1232,,0,999,"$2,189.65 ",4/1/2013,,,$218.97 ,1/1/2016,,
E1233,,0,999,"$2,268.82 ",3/1/2012,,,$226.88 ,3/1/2012,,
E1234,,0,999,"$1,975.17 ",3/1/2012,,,$197.52 ,1/1/2016,,
E1235,,0,999,"$2,680.34 ",1/1/2016,,,$268.03 ,4/1/2019,,
E1236,,0,999,"$2,364.57 ",1/1/2016,,,$236.46 ,4/1/2019,,
E1237,,0,999,"$1,439.40 ",3/1/2012,,,$143.94 ,3/1/2012,,
E1238,,0,999,"$1,599.33 ",3/1/2012,,,$159.93 ,3/1/2012,,
E1239,,0,999,$0.00 ,1/1/2005,5,,,,,
E1240,,0,999,$764.25 ,4/1/2013,,,$76.43 ,4/1/2015,,
E1250,,0,999,$432.87 ,4/1/2019,,,$43.29 ,4/1/2019,,
E1260,,0,999,$777.07 ,4/1/2017,,,$77.71 ,4/1/2017,,
E1270,,0,999,$762.59 ,4/1/2013,,,$76.26 ,4/1/2013,,
E1280,,0,999,"$1,075.00 ",4/1/2013,,,$107.50 ,4/1/2013,,
E1285,,0,999,$999.66 ,4/1/2019,,,$99.97 ,4/1/2019,,
E1290,,0,999,"$1,280.08 ",4/1/2019,,,$128.01 ,4/1/2019,,
E1295,,0,999,"$1,113.60 ",7/1/1997,,,$111.36 ,4/1/2017,,
E1296,,0,999,$384.49 ,4/1/2013,,,,,,
E1297,,0,999,$81.81 ,4/1/2013,,,,,,
E1298,,0,999,$331.29 ,4/1/2013,,,,,,
E1300,,0,20,$170.00 ,4/1/2017,6,,$17.00 ,4/1/2017,6,
E1310,,0,20,"$2,074.39 ",4/1/2013,6,,,,,
E1353,,0,999,$27.37 ,4/1/2013,,,,,,
E1355,,0,999,$20.61 ,4/1/2013,,,$2.06 ,4/1/2013,,
E135F,,0,20,$0.00 ,4/1/2013,5,6,,,,
E1372,,0,999,$157.72 ,4/1/2019,,,,,,
E1399,,0,999,$0.00 ,4/1/2019,5,,$0.00 ,5/1/2003,5,
E1510,,0,20,"$9,928.69 ",4/1/2013,6,,$992.87 ,4/1/2013,6,
E1520,,0,20,$340.31 ,4/1/2017,6,,$34.03 ,4/1/2017,6,
E1530,,0,20,$489.67 ,4/1/2017,6,,,,,
E1540,,0,20,$22.50 ,4/1/2013,6,,$0.00 ,4/1/1990,5,6
E1550,,0,20,$274.08 ,4/1/2013,6,,$27.41 ,4/1/2013,6,
E1560,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1570,,0,20,$556.28 ,4/1/2015,6,,$55.63 ,4/1/2015,6,
E1575,,0,20,$1.81 ,4/1/2019,,,$0.18 ,4/1/2019,,
E1580,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1590,,0,20,$0.00 ,4/1/1990,5,6,$284.20 ,4/1/2013,6,
E1592,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1594,,0,20,"$6,020.48 ",4/1/2013,6,,$602.05 ,4/1/2013,6,
E1620,,0,20,"$1,719.65 ",4/1/2013,6,,$171.97 ,4/1/2015,6,
E1630,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1632,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1635,,0,20,$0.00 ,4/1/1990,5,6,$616.30 ,4/1/2013,6,
E1637,,0,20,$3.92 ,4/1/2013,6,,,,,
E1639,,0,20,$252.47 ,4/1/2015,6,,$25.25 ,4/1/2015,6,
E168F,,0,999,$319.26 ,4/1/2013,,,,,,
E1699,,0,20,$0.00 ,4/1/1990,5,6,$0.00 ,4/1/1990,5,6
E1800,,0,20,"$1,026.35 ",4/1/2013,6,,$102.64 ,4/1/2013,6,
E1801,,0,20,"$1,327.41 ",4/1/2013,6,,$132.74 ,4/1/2015,,
E1802,,0,20,"$3,156.89 ",4/1/2013,6,,$315.69 ,4/1/2013,6,
E1803,,0,20,"$1,447.29 ",1/1/2025,,,$144.73 ,1/1/2025,,
E1804,,0,20,"$1,447.29 ",1/1/2025,,,$144.73 ,1/1/2025,,
E1805,,0,20,"$1,037.39 ",4/1/2013,6,,$103.74 ,4/1/2013,6,
E1806,,0,20,$974.37 ,4/1/2013,6,,$97.44 ,4/1/2015,,
E1807,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1808,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1810,,0,20,"$1,040.43 ",4/1/2013,6,,$104.04 ,4/1/2013,6,
E1811,,0,20,"$1,314.38 ",4/1/2013,6,,$131.44 ,4/1/2015,,
E1812,,0,20,$842.70 ,4/1/2013,6,,$84.27 ,4/1/2013,6,
E1813,,0,20,"$1,467.28 ",1/1/2025,,,$146.73 ,1/1/2025,,
E1814,,0,20,"$1,467.28 ",1/1/2025,,,$146.73 ,1/1/2025,,
E1815,,0,20,"$1,040.43 ",4/1/2013,6,,$104.04 ,4/1/2013,6,
